corruption,severity,severity_name,clean_mae,corrupt_mae,fallback_mae,action_drift,uncertainty,trigger_rate,fallback_improve_rate,degradation_percent,recovery_percent
brightness,1,light,0.5824213844537734,0.6793543216586113,0.6646801444888115,0.36946078687906264,0.3499190329387784,0.16,0.75,16.643093779213974,2.1600182264202705
brightness,2,medium,0.5824213844537734,0.7879040284454822,0.7275033731758594,0.5067569790035487,0.3710786293819547,0.18,0.7777777777777778,35.28075195666478,7.6659914264928934
brightness,3,heavy,0.5824213844537734,0.9796047316491604,0.8434259204566479,0.712264786362648,0.46318011071532966,0.22,1.0,68.1951861310668,13.901403983957495
occlusion,1,light,0.5824213844537734,0.5713696955144405,0.5764776544272899,0.12006495248526335,0.2981218702346087,0.1,0.4,-1.8975417514413255,-0.8939849195625278
occlusion,2,medium,0.5824213844537734,0.6166558334231377,0.6180426523089408,0.2418958617374301,0.31727821093052627,0.14,0.42857142857142855,5.877951923326298,-0.22489349984816503
occlusion,3,heavy,0.5824213844537734,0.7965422797203064,0.7425956428050995,0.504174723699689,0.3841738102585077,0.12,0.8333333333333334,36.7639137198486,6.772601817715124
noise,1,light,0.5824213844537734,0.583719765841961,0.5823806378245354,0.029919604640454053,0.2920425499975681,0.1,0.2,0.2229281792949945,0.22941282714556732
noise,2,medium,0.5824213844537734,0.5868617191910743,0.5848691764473916,0.03499184783548117,0.2918822408467531,0.12,0.16666666666666666,0.7623921194901292,0.33952508376748
noise,3,heavy,0.5824213844537734,0.5830731648206711,0.5859143763780594,0.05203247478231788,0.2972964713349938,0.12,0.16666666666666666,0.1119087286791314,-0.4872821677983081
blur,1,light,0.5824213844537734,0.5856233245134354,0.5814700955152512,0.03959796190261841,0.2891607344523072,0.1,0.2,0.549763477978209,0.7091980159148993
blur,2,medium,0.5824213844537734,0.585296882390976,0.5806361413002015,0.0791705496609211,0.2949801207333803,0.12,0.5,0.4937143473705625,0.7963037615603027
blur,3,heavy,0.5824213844537734,0.5932305333018303,0.5922883746027946,0.10524988217279314,0.30187503796070814,0.12,0.3333333333333333,1.8558983472411898,0.15881830859105953
camera_failure,1,light,0.5824213844537734,0.719078773856163,0.6654041522741317,0.3664528865367174,0.3402815939486027,0.12,0.8333333333333334,23.46366274489635,7.464359056823974
camera_failure,2,medium,0.5824213844537734,0.778536306321621,0.6899754223227501,0.4348328448086977,0.37376967299729585,0.14,0.8571428571428571,33.672342242683065,11.375305593299522
camera_failure,3,heavy,0.5824213844537734,1.0502851811051368,0.8837225660681725,0.7782589679956436,0.4982454289868474,0.22,1.0,80.33080672169199,15.858798927516327
